vector;x;y;step
[5.8,3.375,3.175,1.0];0;0,0
[6.075,2.9000000000000004,4.425,1.5499999999999998];1;0,0
[5.85,2.7,3.85,1.2];2;0,0
[6.3,3.1,5.0,1.9];3;0,0
[6.6,2.9,4.6,1.3];4;0,0
[5.599999999999999,2.9,3.233333333333334,0.9666666666666667];5;0,0
[5.9,3.125,4.075,1.2249999999999999];6;0,0
[6.066666666666666,2.9,4.666666666666667,1.6333333333333335];7;0,0
[6.0,3.4,4.5,1.6];8;0,0
[5.866666666666667,2.9333333333333336,3.6999999999999997,1.2333333333333332];9;0,0
[5.0,3.2,1.2,0.2];0;1,0
[5.4,3.2,3.25,1.3];1;1,0
[6.133333333333333,3.1333333333333333,5.066666666666666,1.8333333333333333];2;1,0
[6.04,3.0799999999999996,3.8999999999999995,1.24];3;1,0
[5.574999999999999,3.3249999999999997,3.275,1.1250000000000002];4;1,0
[5.5,3.4333333333333336,2.6,0.7999999999999999];5;1,0
[5.766666666666667,3.183333333333333,3.283333333333333,0.8999999999999999];6;1,0
[6.300000000000001,3.45,3.4,1.2999999999999998];7;1,0
[6.0,3.45,3.25,1.15];8;1,0
[6.7,3.0,5.2,2.3];9;1,0
[5.174999999999999,3.1999999999999997,2.4,0.5499999999999999];0;2,0
[5.466666666666666,3.1999999999999997,2.766666666666667,0.8666666666666667];1;2,0
[4.7,2.4,2.9,1.0];2;2,0
[5.666666666666667,2.9333333333333336,3.6,1.0];3;2,0
[6.5,3.0,5.2,2.0];4;2,0
[5.55,3.25,2.6999999999999997,0.75];5;2,0
[4.9,3.1,1.5,0.1];6;2,0
[4.6,3.2,1.4500000000000002,0.2];7;2,0
[0.0,0.0,0.0,0.0];8;2,0
[6.85,2.8499999999999996,5.949999999999999,2.0];9;2,0
[5.0,3.45,1.7,0.25];0;3,0
[5.0600000000000005,2.96,2.5000000000000004,0.5800000000000001];1;3,0
[6.075,3.2750000000000004,3.775,0.9500000000000001];2;3,0
[6.225,2.9000000000000004,4.9,1.625];3;3,0
[6.5,2.9333333333333336,5.0,1.6666666666666667];4;3,0
[6.633333333333333,2.733333333333333,5.3999999999999995,1.8333333333333333];5;3,0
[5.699999999999999,2.6,4.5,1.5];6;3,0
[6.4,2.65,4.95,1.55];7;3,0
[6.057142857142857,3.057142857142857,3.685714285714286,1.1428571428571428];8;3,0
[6.533333333333334,2.966666666666667,5.400000000000001,1.9666666666666668];9;3,0
[0.0,0.0,0.0,0.0];0;4,0
[4.75,3.45,1.4,0.30000000000000004];1;4,0
